Chaque	PRO:IND	chaque
lundi	NOM	lundi
Léon	NAM	Léon
doit	VER:pres	devoir
écrire	VER:infi	écrire
une	DET:ART	un
rédaction	NOM	rédaction
.	SENT	.
Il	PRO:PER	il
doit	VER:pres	devoir
écrire	VER:infi	écrire
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
dimanche	NOM	dimanche
,	PUN	,
mais	KON	mais
le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
.	SENT	.
La	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
écrit	VER:pper	écrire
ça	PRO:DEM	cela
la	DET:ART	le
maitresse	NOM	maitresse
lui	PRO:PER	lui
a	VER:pres	avoir
écrit	VER:pper	écrire
que	KON	que
c'	PRO:DEM	ce
était	VER:impf	être
non	ADV	non
suffisant	ADJ	suffisant
.	SENT	.
La	DET:ART	le
deuxième	NUM	deuxième
fois	NOM	foi|fois
elle	PRO:PER	elle
a	VER:pres	avoir
mis	VER:pper	mettre
0	NUM	@card@
/	PUN	/
10.	PRO:PER	@ord@
Mais	VER:impf	Mais
un	DET:ART	un
dimanche	NOM	dimanche
sa	DET:POS	son
maman	NOM	maman
s'	PRO:PER	se
est	VER:pres	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
très	ADV	très
bien	ADJ	bien
.	SENT	.
Après	KON	après
il	PRO:PER	il
a	VER:pres	avoir
poussé	VER:pper	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
9	NUM	@card@
/	PUN	/
10.	INT	@ord@
