C'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
petit	ADJ	petit
garçon	NOM	garçon
qui	PRO:REL	qui
avait	VER:impf	avoir
0	NUM	@card@
/	PUN	/
10	NUM	@card@
parce	KON	parce
qu'	KON	que
il	PRO:PER	il
ne	ADV	ne
faisait	VER:impf	faire
jamais	ADV	jamais
rien	ADV	rien
les	DET:ART	le
dimanches	NOM	dimanche
.	SENT	.
Les	DET:ART	le
lundis	NOM	lundi
il	PRO:PER	il
racontait	VER:impf	raconter
toujours	ADV	toujours
<segmentation/>
il	PRO:PER	il
avait	VER:impf	avoir
0	NUM	@card@
/	PUN	/
10.	PRO:PER	@ord@
Mais	VER:impf	Mais
un	DET:ART	un
lundi	NOM	lundi
il	PRO:PER	il
a	VER:pres	avoir
une	DET:ART	un
idée	NOM	idée
<segmentation/>
un	DET:ART	un
dimanche	NOM	dimanche
il	PRO:PER	il
poussa	VER:simp	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
<segmentation/>
un	DET:ART	un
autre	ADJ	autre
dimanche	NOM	dimanche
il	PRO:PER	il
laissa	VER:simp	laisser
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
au	PRP:det	au
bord	NOM	bord
de	PRP	de
la	DET:ART	le
fenêtre	NOM	fenêtre
en	PRP	en
espérant	VER:ppre	espérer
que	KON	que
quand	KON	quand
le	DET:ART	le
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
tombe	VER:pres	tomber
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
de	PRP	de
quelqu'un	PRO:IND	quelqu'un
et	KON	et
puis	ADV	puis
le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
ne	ADV	ne
peut	VER:pres	pouvoir
pas	ADV	pas
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
une	DET:ART	un
remplaçante	NOM	remplaçant
<segmentation/>
elle	PRO:PER	elle
explique	VER:pres	expliquer
que	KON	que
la	DET:ART	le
maitresse	NOM	maitresse
<suggestion>
a	VER:pres	avoir
une	DET:ART	un
fracture	NOM	fracture
</suggestion>
du	PRP:det	du
crâne	NOM	crâne
.	SENT	.
