Un	DET:ART	un
petit	ADJ	petit
garçon	NOM	garçon
à	PRP	à
l'	DET:ART	le
école	NOM	école
doit	VER:pres	devoir
raconter	VER:infi	raconter
son	DET:POS	son
dimanche	NOM	dimanche
mais	KON	mais
le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passait	VER:impf	passer
rien	ADV	rien
,	PUN	,
rien	NOM	rien
du	PRP:det	du
tout	NOM	tout
<segmentation/>
il	PRO:PER	il
allait	VER:impf	aller
chez	PRP	chez
ses	DET:POS	son
grands-parents	NOM	grands-parents
mais	KON	mais
il	PRO:PER	il
s'	PRO:PER	se
ennuyait	VER:impf	ennuyer
<segmentation/>
il	PRO:PER	il
mangeait	VER:impf	manger
et	KON	et
s'	PRO:PER	se
ennuyait	VER:impf	ennuyer
et	KON	et
il	PRO:PER	il
remangeait	VER:impf	remanger
et	KON	et
voilà	ADV	voilà
la	DET:ART	le
journée	NOM	journée
du	PRP:det	du
petit	ADJ	petit
garçon	NOM	garçon
.	SENT	.
Un	DET:ART	un
lundi	NOM	lundi
il	PRO:PER	il
écrivait	VER:impf	écrire
la	DET:ART	le
journée	NOM	journée
du	PRP:det	du
dimanche	NOM	dimanche
et	KON	et
quand	KON	quand
il	PRO:PER	il
eut	VER:simp	avoir
sa	DET:POS	son
rédaction	NOM	rédaction
<suggestion>
,	PUN	,
sur	PRP	sur
laquelle	PRO:REL	lequel
</suggestion>
la	DET:ART	le
maîtresse	NOM	maître|maîtresse
a	VER:pres	avoir
écrit	VER:pper	écrire
«	PUN:cit	«
insuffisant	ADJ	insuffisant
»	PUN:cit	»
,	PUN	,
il	PRO:PER	il
réfléchit	VER:pres	réfléchir
.	SENT	.
