Il	PRO:PER	il
était	VER:impf	être
une	DET:ART	un
fois	NOM	foi|fois
Léon	NAM	Léon
<segmentation/>
il	PRO:PER	il
devait	VER:impf	devoir
raconter	VER:infi	raconter
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
faisait	VER:impf	faire
le	DET:ART	le
dimanche	NOM	dimanche
.	SENT	.
Il	PRO:PER	il
faisait	VER:impf	faire
rien	ADV	rien
.	SENT	.
La	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
dit	VER:pper	dire
ça	PRO:DEM	cela
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
1	NUM	@card@
/	PUN	/
10	NUM	@card@
<segmentation/>
la	DET:ART	le
deuxième	NUM	deuxième
fois	NOM	foi|fois
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
0	NUM	@card@
/	PUN	/
10	NUM	@card@
et	KON	et
un	NUM	un
dimanche	NOM	dimanche
sa	DET:POS	son
maman	NOM	maman
s'	PRO:PER	se
est	VER:pres	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
.	SENT	.
Il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
9	NUM	@card@
/	PUN	/
10.	INT	@ord@
Après	NAM	Après
il	PRO:PER	il
a	VER:pres	avoir
poussé	VER:pper	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
10	NUM	@card@
/	PUN	/
10.	INT	@ord@
