Il	PRO:PER	il
doit	VER:pres	devoir
raconter	VER:infi	raconter
à	PRP	à
l'	DET:ART	le
école	NOM	école
sa	DET:POS	son
journée	NOM	journée
du	PRP:det	du
dimanche	NOM	dimanche
et	KON	et
pour	PRP	pour
ça	PRO:DEM	cela
il	PRO:PER	il
fait	VER:pres	faire
des	PRP:det	du
bêtises	NOM	bêtise
<segmentation/>
il	PRO:PER	il
fait	VER:pres	faire
tomber	VER:infi	tomber
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
,	PUN	,
il	PRO:PER	il
inonde	VER:pres	inonder
l'	DET:ART	le
appartement	NOM	appartement
des	PRP:det	du
voisins	NOM	voisin
,	PUN	,
et	KON	et
il	PRO:PER	il
fait	VER:pres	faire
une	DET:ART	un
grosse	ADJ	gros
bêtise	NOM	bêtise
<segmentation/>
il	PRO:PER	il
fait	VER:pres	faire
tomber	VER:infi	tomber
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
sur	PRP	sur
sa	DET:POS	son
maîtresse	NOM	maître|maîtresse
.	SENT	.
Il	PRO:PER	il
fait	VER:pres	faire
tomber	VER:infi	tomber
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
.	SENT	.
