Léon	NAM	Léon
doit	VER:pres	devoir
faire	VER:infi	faire
une	DET:ART	un
rédaction	NOM	rédaction
le	DET:ART	le
lundi	NOM	lundi
pour	PRP	pour
raconter	VER:infi	raconter
son	DET:POS	son
dimanche	NOM	dimanche
.	SENT	.
Une	DET:ART	un
fois	NOM	foi|fois
la	DET:ART	le
machine	NOM	machine
à	PRP	à
laver	VER:infi	laver
inonde	VER:pres	inonder
<omission type=""nom""/>
,	PUN	,
une	DET:ART	un
fois	NOM	foi|fois
il	PRO:PER	il
pousse	VER:pres	pousser
sa	DET:POS	son
petite	ADJ	petit
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
.	SENT	.
Et	KON	et
un	DET:ART	un
jour	NOM	jour
il	PRO:PER	il
met	VER:pres	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
en	PRP	en
équilibre	NOM	équilibre
sur	PRP	sur
le	DET:ART	le
balcon	NOM	balcon
et	KON	et
le	DET:ART	le
pot	NOM	pot
tombe	VER:pres	tomber
sur	PRP	sur
la	DET:ART	le
maîtresse	NOM	maître|maîtresse
.	SENT	.
Le	DET:ART	le
lendemain	NOM	lendemain
il	PRO:PER	il
comprend	VER:pres	comprendre
que	KON	que
le	DET:ART	le
pot	NOM	pot
est	VER:pres	être
tombé	VER:pper	tomber
sur	PRP	sur
la	DET:ART	le
maîtresse	NOM	maître|maîtresse
.	SENT	.
