C'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
histoire	NOM	histoire
de	PRP	de
Léo	NAM	Léo
.	SENT	.
Il	PRO:PER	il
écrit	VER:pres	écrire
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
fait	VER:pres	faire
le	DET:ART	le
dimanche	NOM	dimanche
.	SENT	.
Un	DET:ART	un
dimanche	NOM	dimanche
sa	DET:POS	son
maman	NOM	maman
se	PRO:PER	se
coupa	VER:simp	couper
le	DET:ART	le
doigt	NOM	doigt
.	SENT	.
Un	DET:ART	un
dimanche	NOM	dimanche
il	PRO:PER	il
décida	VER:simp	décider
de	PRP	de
pousser	VER:infi	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
.	SENT	.
Un	DET:ART	un
dimanche	NOM	dimanche
il	PRO:PER	il
mit	VER:simp	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
sur	PRP	sur
la	DET:ART	le
fenêtre	NOM	fenêtre
.	SENT	.
