Léon	NAM	Léon
a	VER:pres	avoir
toujours	ADV	toujours
0	NUM	@card@
à	PRP	à
sa	DET:POS	son
rédaction	NOM	rédaction
.	SENT	.
Et	KON	et
un	DET:ART	un
jour	NOM	jour
il	PRO:PER	il
se	PRO:PER	se
passe	VER:pres	passer
une	DET:ART	un
chose	NOM	chose
<segmentation/>
sa	DET:POS	son
mère	NOM	mère
s'	PRO:PER	se
était	VER:impf	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
.	SENT	.
Léon	NAM	Léon
avait	VER:impf	avoir
compris	VER:pper	comprendre
<segmentation/>
il	PRO:PER	il
devait	VER:impf	devoir
faire	VER:infi	faire
une	DET:ART	un
chose	NOM	chose
.	SENT	.
Il	PRO:PER	il
poussa	VER:simp	pousser
sa	DET:POS	son
soeur	NOM	sœur
,	PUN	,
il	PRO:PER	il
empoisonna	VER:simp	empoisonner
son	DET:POS	son
père	NOM	père
,	PUN	,
et	KON	et
mis	VER:pper	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
sur	PRP	sur
le	DET:ART	le
rebord	NOM	rebord
et	KON	et
attendit	VER:simp	attendre
.	SENT	.
Le	DET:ART	le
lendemain	NOM	lendemain
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
une	DET:ART	un
remplaçante	NOM	remplaçant
.	SENT	.
Il	PRO:PER	il
faisait	VER:impf	faire
de	PRP	de
la	DET:ART	le
grammaire	NOM	grammaire
<segmentation/>
pour	PRP	pour
lui	PRO:PER	lui
c'	PRO:DEM	ce
est	VER:pres	être
beaucoup	ADV	beaucoup
mieux	ADV	mieux
que	KON	que
la	DET:ART	le
rédaction	NOM	rédaction
.	SENT	.
