Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
Léon	NAM	Léon
a	VER:pres	avoir
rédaction	NOM	rédaction
.	SENT	.
Il	PRO:PER	il
faut	VER:pres	falloir
qu'	KON	que
il	PRO:PER	il
raconte	VER:pres	raconter
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
dimanche	NOM	dimanche
.	SENT	.
Mais	KON	mais
le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passait	VER:impf	passer
rien	ADV	rien
.	SENT	.
Il	PRO:PER	il
allait	VER:impf	aller
chez	PRP	chez
sa	DET:POS	son
mamie	NOM	mamie
.	SENT	.
Un	DET:ART	un
jour	NOM	jour
sa	DET:POS	son
maman	NOM	maman
s'	PRO:PER	se
est	VER:pres	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
en	PRP	en
coupant	VER:ppre	couper
le	DET:ART	le
gibier	NOM	gibier
.	SENT	.
Il	PRO:PER	il
a	VER:pres	avoir
fallu	VER:pper	falloir
l'	PRO:PER	la|le
amener	VER:infi	amener
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
Le	DET:ART	le
lundi	NOM	lundi
Léon	NAM	Léon
a	VER:pres	avoir
raconté	VER:pper	raconter
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
9	NUM	@card@
/	PUN	/
10.	VER:ppre	@ord@
Le	DET:ART	le
dimanche	NOM	dimanche
d'	PRP	de
après	KON	après
il	PRO:PER	il
poussa	VER:simp	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
.	SENT	.
Le	DET:ART	le
lundi	NOM	lundi
Léon	NAM	Léon
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
9	NUM	@card@
/	PUN	/
10.	VER:ppre	@ord@
Le	DET:ART	le
dimanche	NOM	dimanche
encore	ADV	encore
d'	PRP	de
après	ADV	après
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
mis	VER:pper	mettre
de	PRP	de
la	DET:ART	le
poudre	NOM	poudre
à	PRP	à
laver	VER:infi	laver
les	DET:ART	le
vêtements	NOM	vêtement
dans	PRP	dans
la	DET:ART	le
machine	NOM	machine
à	PRP	à
nettoyer	VER:infi	nettoyer
les	DET:ART	le
couverts	NOM	couvert
et	KON	et
les	DET:ART	le
assiettes	NOM	assiette
et	KON	et
les	DET:ART	le
verres	NOM	verre
.	SENT	.
Un	DET:ART	un
autre	ADJ	autre
dimanche	NOM	dimanche
il	PRO:PER	il
a	VER:pres	avoir
mis	VER:pper	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
en	PRP	en
équilibre	NOM	équilibre
sur	PRP	sur
la	DET:ART	le
fenêtre	NOM	fenêtre
.	SENT	.
Et	KON	et
le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
une	DET:ART	un
remplaçante	NOM	remplaçant
.	SENT	.
La	DET:ART	le
maîtresse	NOM	maître|maîtresse
était	VER:impf	être
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
