Léon	NAM	Léon
tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
devait	VER:impf	devoir
écrire	VER:infi	écrire
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
avait	VER:impf	avoir
fait	VER:pper	faire
le	DET:ART	le
dimanche	NOM	dimanche
mais	KON	mais
à	PRP	à
chaque	PRO:IND	chaque
fois	NOM	foi|fois
ça	PRO:DEM	cela
se	PRO:PER	se
passe	VER:pres	passer
comme	ADV	comme
d'	PRP	de
habitude	NOM	habitude
<segmentation/>
il	PRO:PER	il
allait	VER:impf	aller
chez	PRP	chez
ses	DET:POS	son
grands-parents	NOM	grands-parents
et	KON	et
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passait	VER:impf	passer
rien	ADV	rien
mais	KON	mais
un	DET:ART	un
jour	NOM	jour
<nonfini/>
