Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
Léon	NAM	Léon
a	VER:pres	avoir
rédaction	NOM	rédaction
pour	PRP	pour
raconter	VER:infi	raconter
son	DET:POS	son
dimanche	NOM	dimanche
.	SENT	.
Mais	KON	mais
le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passait	VER:impf	passer
rien	ADV	rien
<segmentation/>
Léon	NAM	Léon
s'	PRO:PER	se
ennuyait	VER:impf	ennuyer
,	PUN	,
mangeait	VER:impf	manger
,	PUN	,
s'	PRO:PER	se
ennuyait	VER:impf	ennuyer
,	PUN	,
mangeait	VER:impf	manger
et	KON	et
c'	PRO:DEM	ce
était	VER:impf	être
fini	VER:pper	finir
.	SENT	.
Léon	NAM	Léon
a	VER:pres	avoir
eu	VER:pper	avoir
0	NUM	@card@
/	PUN	/
10.	PRO:PER	@ord@
Mais	VER:impf	Mais
un	DET:ART	un
dimanche	NOM	dimanche
la	DET:ART	le
maman	NOM	maman
de	PRP	de
Léon	NAM	Léon
s'	PRO:PER	se
est	VER:pres	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
avec	PRP	avec
un	DET:ART	un
couteau	NOM	couteau
en	PRP	en
coupant	VER:ppre	couper
l'	DET:ART	le
os	NOM	os
du	PRP:det	du
gigot	NOM	gigot
.	SENT	.
Donc	ADV	donc
il	PRO:PER	il
a	VER:pres	avoir
raconté	VER:pper	raconter
ça	PRO:DEM	cela
dans	PRP	dans
la	DET:ART	le
rédaction	NOM	rédaction
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
même	ADV	même
eu	VER:pper	avoir
10	NUM	@card@
/	PUN	/
10.	INT	@ord@
Donc	NAM	Donc
il	PRO:PER	il
a	VER:pres	avoir
commencé	VER:pper	commencer
à	PRP	à
faire	VER:infi	faire
des	PRP:det	du
catastrophes	NOM	catastrophe
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
poussé	VER:pper	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
.	SENT	.
Un	DET:ART	un
dimanche	NOM	dimanche
sur	PRP	sur
le	DET:ART	le
balcon	NOM	balcon
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
mis	VER:pper	mettre
une	DET:ART	un
planche	NOM	planche
et	KON	et
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
<segmentation/>
il	PRO:PER	il
pensait	VER:impf	penser
que	KON	que
ça	PRO:DEM	cela
allait	VER:impf	aller
le	PRO:PER	le
faire	VER:infi	faire
<segmentation/>
c'	PRO:DEM	ce
est	VER:pres	être
ce	PRO:DEM	ce
qui	PRO:REL	qui
arriva	VER:simp	arriver
<segmentation/>
le	DET:ART	le
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
est	VER:pres	être
tombé	VER:pper	tomber
sur	PRP	sur
une	DET:ART	un
dame	NOM	dame
.	SENT	.
Léon	NAM	Léon
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
pu	VER:pper	pouvoir
y	PRO:PER	y
aller	VER:infi	aller
<segmentation/>
il	PRO:PER	il
était	VER:impf	être
aux	PRP:det	au
toilettes	NOM	toilette
.	SENT	.
Les	DET:ART	le
ambulances	NOM	ambulance
arrivent	VER:pres	arriver
<segmentation/>
il	PRO:PER	il
emmène	VER:pres	emmener
la	DET:ART	le
dame	NOM	dame
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
Et	KON	et
<nonfini/>
