Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
Léon	NAM	Léon
devait	VER:impf	devoir
raconter	VER:infi	raconter
son	DET:POS	son
dimanche	NOM	dimanche
.	SENT	.
Sauf	PRP	sauf
que	KON	que
chez	PRP	chez
Léon	NAM	Léon
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passait	VER:impf	passer
rien	ADV	rien
<segmentation/>
du	PRP:det	du
coup	NOM	coup
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
0	NUM	@card@
/	PUN	/
10.	PRO:PER	@ord@
Mais	VER:impf	Mais
attention	NOM	attention
,	PUN	,
un	DET:ART	un
jour	NOM	jour
sa	DET:POS	son
mère	NOM	mère
s'	PRO:PER	se
était	VER:impf	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
en	PRP	en
coupant	VER:ppre	couper
le	DET:ART	le
gigot	NOM	gigot
<segmentation/>
aussi	ADV	aussi
en	PRO:PER	en
poussant	VER:ppre	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
et	KON	et
il	PRO:PER	il
avait	VER:impf	avoir
laissé	VER:pper	laisser
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
en	PRP	en
équilibre	NOM	équilibre
et	KON	et
sa	DET:POS	son
maîtresse	NOM	maître|maîtresse
était	VER:impf	être
passée	VER:pper	passer
sous	PRP	sous
la	DET:ART	le
fenêtre	NOM	fenêtre
<segmentation/>
du	PRP:det	du
coup	NOM	coup
elle	PRO:PER	elle
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
fracture	NOM	fracture
au	PRP:det	au
crâne	NOM	crâne
<segmentation/>
du	PRP:det	du
coup	NOM	coup
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
remplaçante	NOM	remplaçant
et	KON	et
ils	PRO:PER	il
ont	VER:pres	avoir
fait	VER:pper	faire
<suggestion>
de	PRP	de
la	DET:ART	le
</suggestion>
grammaire	NOM	grammaire
mais	KON	mais
la	DET:ART	le
grammaire	NOM	grammaire
c'	PRO:DEM	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
plus	ADV	plus
facile	ADJ	facile
que	KON	que
la	DET:ART	le
rédaction	NOM	rédaction
.	SENT	.
