Léon	NAM	Léon
va	VER:pres	aller
à	PRP	à
l'	DET:ART	le
école	NOM	école
et	KON	et
écrit	VER:pres	écrire
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
fait	VER:pper	faire
dimanche	NOM	dimanche
.	SENT	.
Il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
!	SENT	!
Il	PRO:PER	il
mange	VER:pres	manger
et	KON	et
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
.	SENT	.
Il	PRO:PER	il
est	VER:pres	être
chez	PRP	chez
ses	DET:POS	son
papi	NOM	papi
et	KON	et
mamie	NOM	mamie
<segmentation/>
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
et	KON	et
après	ADV	après
<omission type=""segment""/>
.	SENT	.
Il	PRO:PER	il
croit	VER:pres	croire
que	KON	que
j'	PRO:PER	je
ai	VER:pres	avoir
compris	VER:pper	comprendre
.	SENT	.
