Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
Léon	NAM	Léon
faisait	VER:impf	faire
de	PRP	de
la	DET:ART	le
rédaction	NOM	rédaction
.	SENT	.
Léon	NAM	Léon
ne	ADV	ne
faisait	VER:impf	faire
rien	ADV	rien
,	PUN	,
le	DET:ART	le
matin	NOM	matin
il	PRO:PER	il
ne	ADV	ne
faisait	VER:impf	faire
rien	ADV	rien
,	PUN	,
quand	KON	quand
il	PRO:PER	il
mange	VER:pres	manger
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
,	PUN	,
la	DET:ART	le
deuxième	NUM	deuxième
fois	NOM	foi|fois
qu'	PRO:REL	que
il	PRO:PER	il
mange	VER:pres	manger
c'	PRO:DEM	ce
est	VER:pres	être
fini	VER:pper	finir
.	SENT	.
Un	DET:ART	un
jour	NOM	jour
Léon	NAM	Léon
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
idée	NOM	idée
.	SENT	.
Il	PRO:PER	il
a	VER:pres	avoir
poussé	VER:pper	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
et	KON	et
elle	PRO:PER	elle
est	VER:pres	être
allée	VER:pper	aller
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
