Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
c'	PRO:DEM	ce
est	VER:pres	être
pareil	ADJ	pareil
.	SENT	.
Léon	NAM	Léon
a	VER:pres	avoir
rédaction	NOM	rédaction
<segmentation/>
il	PRO:PER	il
doit	VER:pres	devoir
dire	VER:infi	dire
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
dimanche	NOM	dimanche
.	SENT	.
Mais	KON	mais
le	DET:ART	le
problème	NOM	problème
c'	PRO:DEM	ce
est	VER:pres	être
que	KON	que
le	DET:ART	le
dimanche	NOM	dimanche
Léon	NAM	Léon
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
,	PUN	,
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
,	PUN	,
il	PRO:PER	il
mange	VER:pres	manger
et	KON	et
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
,	PUN	,
il	PRO:PER	il
remange	VER:pres	remanger
et	KON	et
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
.	SENT	.
