Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
Léon	NAM	Léon
doit	VER:pres	devoir
raconter	VER:infi	raconter
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
fait	VER:pper	faire
les	DET:ART	le
dimanches	NOM	dimanche
.	SENT	.
Mais	KON	mais
chez	PRP	chez
Léon	NAM	Léon
le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passe	VER:pres	passer
rien	ADV	rien
.	SENT	.
Et	KON	et
un	DET:ART	un
jour	NOM	jour
la	DET:ART	le
maîtresse	NOM	maître|maîtresse
marque	VER:pres	marquer
sur	PRP	sur
la	DET:ART	le
fiche	NOM	fiche
de	PRP	de
Léon	NAM	Léon
,	PUN	,
"	PUN:cit	"
"	PUN:cit	"
insuffisant	ADJ	insuffisant
"	PUN:cit	"
"	PUN:cit	"
.	SENT	.
Et	KON	et
un	DET:ART	un
jour	NOM	jour
chez	PRP	chez
Léon	NAM	Léon
le	DET:ART	le
dimanche	NOM	dimanche
la	DET:ART	le
maman	NOM	maman
se	PRO:PER	se
coupa	VER:simp	couper
le	DET:ART	le
doigt	NOM	doigt
en	PRP	en
coupant	NOM	coupant
de	PRP	de
la	DET:ART	le
viande	NOM	viande
.	SENT	.
Léon	NAM	Léon
écrit	VER:pres	écrire
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
s'	PRO:PER	se
est	VER:pres	être
passé	VER:pper	passer
ce	PRO:DEM	ce
dimanche	NOM	dimanche
sur	PRP	sur
sa	DET:POS	son
rédaction	NOM	rédaction
.	SENT	.
L'	DET:ART	le
autre	ADJ	autre
dimanche	NOM	dimanche
Léon	NAM	Léon
poussa	VER:simp	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
.	SENT	.
Léon	NAM	Léon
écrit	VER:pres	écrire
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
s'	PRO:PER	se
est	VER:pres	être
<	ADJ	<
omission	NOM	omission
type	VER:pres	typer
=	NOM	=
"	PUN:cit	"
"	PUN:cit	"
verbe	NOM	verbe
participe	VER:pres	participer
passé	VER:pper	passer
"	PUN:cit	"
"	PUN:cit	"
/	PUN	/
>	ADJ	>
ce	PRO:DEM	ce
dimanche	NOM	dimanche
sur	PRP	sur
sa	DET:POS	son
rédaction	NOM	rédaction
et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
9	NUM	@card@
/	PUN	/
10.	VER:ppre	@ord@
L'	DET:ART	le
autre	ADJ	autre
dimanche	NOM	dimanche
il	PRO:PER	il
empoisonna	VER:simp	empoisonner
son	DET:POS	son
père	NOM	père
<segmentation/>
son	DET:POS	son
père	NOM	père
a	VER:pres	avoir
presque	ADV	presque
<suggestion>
failli	ADJ	failli
mourir	NOM	mourir
</suggestion>
.	SENT	.
Léon	NAM	Léon
écrit	VER:pres	écrire
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
s'	PRO:PER	se
est	VER:pres	être
passé	VER:pper	passer
dimanche	NOM	dimanche
sur	PRP	sur
<omission type=""déterminant""/>
rédaction	NOM	rédaction
.	SENT	.
L'	DET:ART	le
autre	ADJ	autre
dimanche	NOM	dimanche
Léon	NAM	Léon
mit	VER:simp	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
au	PRP:det	au
bord	NOM	bord
de	PRP	de
sa	DET:POS	son
fenêtre	NOM	fenêtre
et	KON	et
le	DET:ART	le
pot	NOM	pot
tomba	VER:simp	tomber
sur	PRP	sur
une	DET:ART	un
vieille	ADJ	vieux
dame	NOM	dame
et	KON	et
elle	PRO:PER	elle
tomba	VER:simp	tomber
par	PRP	par
terre	NOM	terre
.	SENT	.
Le	DET:ART	le
lendemain	NOM	lendemain
matin	NOM	matin
il	PRO:PER	il
<suggestion>
y	PRO:PER	y
a	VER:pres	avoir
</suggestion>
une	DET:ART	un
remplaçante	NOM	remplaçant
<suggestion>
qui	PRO:REL	qui
</suggestion>
arrive	VER:pres	arriver
dans	PRP	dans
la	DET:ART	le
classe	NOM	classe
,	PUN	,
la	DET:ART	le
remplaçante	NOM	remplaçant
dit	VER:pres	dire
<dialogue>
«	PUN:cit	«
Bonjour	NAM	Bonjour
je	PRO:PER	je
suis	VER:pres	suivre|être
votre	DET:POS	votre
remplaçante	NOM	remplaçant
<segmentation/>
votre	DET:POS	votre
maîtresse	NOM	maître|maîtresse
a	VER:pres	avoir
reçu	VER:pper	recevoir
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
.	SENT	.
»	PUN:cit	»
</dialogue>
