Léon	NAM	Léon
faisait	VER:impf	faire
une	DET:ART	un
rédaction	NOM	rédaction
sur	PRP	sur
ce	PRO:DEM	ce
qui	PRO:REL	qui
s'	PRO:PER	se
était	VER:impf	être
passé	VER:pper	passer
le	DET:ART	le
dimanche	NOM	dimanche
<segmentation/>
un	DET:ART	un
jour	NOM	jour
il	PRO:PER	il
a	VER:pres	avoir
écrit	VER:pper	écrire
qu'	KON	que
il	PRO:PER	il
mangeait	VER:impf	manger
<segmentation/>
il	PRO:PER	il
dormait	VER:impf	dormir
et	KON	et
il	PRO:PER	il
remangeait	VER:impf	remanger
.	SENT	.
Sa	DET:POS	son
maitresse	NOM	maitresse
lui	PRO:PER	lui
avait	VER:impf	avoir
dit	VER:pper	dire
<dialogue>
«	PUN:cit	«
insuffisant	ADJ	insuffisant
»	PUN:cit	»
</dialogue>
<segmentation/>
même	ADV	même
un	DET:ART	un
jour	NOM	jour
il	PRO:PER	il
avait	VER:impf	avoir
mis	VER:pper	mettre
qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
avait	VER:impf	avoir
rien	ADV	rien
fait	VER:pper	faire
<segmentation/>
il	PRO:PER	il
avait	VER:impf	avoir
eu	VER:pper	avoir
un	DET:ART	un
0	NUM	@card@
/	PUN	/
10	NUM	@card@
<segmentation/>
un	DET:ART	un
jour	NOM	jour
sa	DET:POS	son
maman	NOM	maman
se	PRO:PER	se
coupa	VER:simp	couper
le	DET:ART	le
doigt	NOM	doigt
en	PRP	en
cuisinant	VER:ppre	cuisiner
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
10	NUM	@card@
/	PUN	/
10	NUM	@card@
<segmentation/>
il	PRO:PER	il
poussa	VER:simp	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
<segmentation/>
elle	PRO:PER	elle
dut	VER:simp	devoir
même	ADV	même
aller	VER:infi	aller
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
<segmentation/>
il	PRO:PER	il
eut	VER:simp	avoir
9	NUM	@card@
/	PUN	/
10	NUM	@card@
et	KON	et
il	PRO:PER	il
avait	VER:impf	avoir
mis	VER:pper	mettre
la	DET:ART	le
poudre	NOM	poudre
de	PRP	de
lessive	NOM	lessive
dans	PRP	dans
l'	DET:ART	le
eau	NOM	eau
et	KON	et
son	DET:POS	son
père	NOM	père
avait	VER:impf	avoir
failli	VER:pper	faillir
mourir	VER:infi	mourir
empoissonné	VER:pper	empoissonner
<segmentation/>
il	PRO:PER	il
eut	VER:simp	avoir
9	NUM	@card@
,	PUN	,
5	NUM	@card@
/	PUN	/
10	NUM	@card@
<segmentation/>
un	DET:ART	un
jour	NOM	jour
il	PRO:PER	il
a	VER:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
avoir	VER:infi	avoir
un	DET:ART	un
7	NUM	@card@
/	PUN	/
10	NUM	@card@
quand	KON	quand
il	PRO:PER	il
a	VER:pres	avoir
fait	VER:pper	faire
trop	ADV	trop
couler	VER:infi	couler
la	DET:ART	le
lessive	NOM	lessive
et	KON	et
ça	PRO:DEM	cela
a	VER:pres	avoir
inondé	VER:pper	inonder
les	DET:ART	le
voisins	NOM	voisin
<segmentation/>
un	DET:ART	un
jour	NOM	jour
il	PRO:PER	il
a	VER:pres	avoir
une	DET:ART	un
idée	NOM	idée
<segmentation/>
mettre	VER:infi	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
en	PRP	en
déséquilibre	NOM	déséquilibre
.	SENT	.
Il	PRO:PER	il
entend	VER:pres	entendre
un	DET:ART	un
cri	NOM	cri
mais	KON	mais
il	PRO:PER	il
ne	ADV	ne
pouvait	VER:impf	pouvoir
pas	ADV	pas
venir	VER:infi	venir
voir	VER:infi	voir
parce	KON	parce
qu'	PRO:REL	que
il	PRO:PER	il
était	VER:impf	être
aux	PRP:det	au
toilettes	NOM	toilette
<segmentation/>
il	PRO:PER	il
vit	VER:pres	vivre
juste	ADJ	juste
la	DET:ART	le
victime	NOM	victime
entrer	VER:infi	entrer
dans	PRP	dans
l'	DET:ART	le
ambulance	NOM	ambulance
<segmentation/>
le	DET:ART	le
lendemain	NOM	lendemain
à	PRP	à
l'	DET:ART	le
école	NOM	école
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
une	DET:ART	un
remplaçante	NOM	remplaçant
qui	PRO:REL	qui
leur	PRO:PER	lui
donna	VER:simp	donner
de	PRP	de
la	DET:ART	le
conjugaison	NOM	conjugaison
et	KON	et
c'	PRO:DEM	ce
était	VER:impf	être
plus	ADV	plus
facile	ADJ	facile
.	SENT	.
