Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
Léon	NAM	Léon
avait	VER:impf	avoir
une	DET:ART	un
rédaction	NOM	rédaction
.	SENT	.
Mais	KON	mais
le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passait	VER:impf	passer
rien	ADV	rien
.	SENT	.
Donc	ADV	donc
le	DET:ART	le
lundi	NOM	lundi
à	PRP	à
sa	DET:POS	son
rédaction	NOM	rédaction
il	PRO:PER	il
n'	ADV	ne
avait	VER:impf	avoir
que	ADV	que
des	PRP:det	du
zéros	NOM	zéro
sur	PRP	sur
dix	NUM	dix
.	SENT	.
Mais	KON	mais
un	DET:ART	un
dimanche	NOM	dimanche
sa	DET:POS	son
mère	NOM	mère
était	VER:impf	être
dans	PRP	dans
la	DET:ART	le
cuisine	NOM	cuisine
en	PRP	en
train	NOM	train
de	PRP	de
couper	VER:infi	couper
des	PRP:det	du
légumes	NOM	légume
<segmentation/>
sans	PRP	sans
faire	VER:infi	faire
exprès	ADV	exprès
Léon	NAM	Léon
a	VER:pres	avoir
pris	VER:pper	prendre
le	DET:ART	le
couteau	NOM	couteau
et	KON	et
a	VER:pres	avoir
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
.	SENT	.
Il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
du	PRP:det	du
sang	NOM	sang
partout	ADV	partout
.	SENT	.
Alors	ADV	alors
le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
a	VER:pres	avoir
raconté	VER:pper	raconter
sa	DET:POS	son
rédaction	NOM	rédaction
et	KON	et
il	PRO:PER	il
avait	VER:impf	avoir
eu	VER:pper	avoir
un	DET:ART	un
neuf	ADJ	neuf
sur	PRP	sur
dix	NUM	dix
.	SENT	.
Alors	ADV	alors
le	DET:ART	le
dimanche	NOM	dimanche
prochain	ADJ	prochain
il	PRO:PER	il
pousse	VER:pres	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
et	KON	et
elle	PRO:PER	elle
se	PRO:PER	se
retrouve	VER:pres	retrouver
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
Alors	ADV	alors
encore	ADV	encore
une	DET:ART	un
fois	NOM	foi|fois
il	PRO:PER	il
<nonfini/>
