Tous	PRO:IND	tout
les	DET:ART	le
dimanches	NOM	dimanche
il	PRO:PER	il
doit	VER:pres	devoir
faire	VER:infi	faire
une	DET:ART	un
action	NOM	action
.	SENT	.
La	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
il	PRO:PER	il
n'	ADV	ne
avait	VER:impf	avoir
pas	ADV	pas
assez	ADV	assez
<segmentation/>
la	DET:ART	le
deuxième	NUM	deuxième
fois	NOM	foi|fois
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
zéro	NOM	zéro
sur	PRP	sur
zéro	NOM	zéro
<segmentation/>
la	DET:ART	le
troisième	NUM	troisième
fois	NOM	foi|fois
sa	DET:POS	son
mère	NOM	mère
s'	PRO:PER	se
est	VER:pres	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
très	ADV	très
bien	ADV	bien
.	SENT	.
Et	KON	et
un	DET:ART	un
dimanche	NOM	dimanche
il	PRO:PER	il
a	VER:pres	avoir
mis	VER:pper	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
à	PRP	à
la	DET:ART	le
fenêtre	NOM	fenêtre
<segmentation/>
le	DET:ART	le
pot	NOM	pot
est	VER:pres	être
tombé	VER:pper	tomber
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
d'	PRP	de
une	DET:ART	un
dame	NOM	dame
<segmentation/>
le	DET:ART	le
lendemain	NOM	lendemain
la	DET:ART	le
maitresse	NOM	maitresse
était	VER:impf	être
absente	NOM	absent
<segmentation/>
elle	PRO:PER	elle
avait	VER:impf	avoir
une	DET:ART	un
fracture	NOM	fracture
du	PRP:det	du
crâne	NOM	crâne
.	SENT	.
