Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
Léon	NAM	Léon
a	VER:pres	avoir
une	DET:ART	un
rédaction	NOM	rédaction
de	PRP	de
son	DET:POS	son
dimanche	NOM	dimanche
,	PUN	,
malheureusement	ADV	malheureusement
le	DET:ART	le
dimanche	NOM	dimanche
Léon	NAM	Léon
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
,	PUN	,
la	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
il	PRO:PER	il
a	VER:pres	avoir
dit	VER:pper	dire
:	PUN	:
«	PUN:cit	«
j'	PRO:PER	je
ai	VER:pres	avoir
mangé	VER:pper	manger
<segmentation/>
après	KON	après
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
rien	ADV	rien
fait	VER:pper	faire
,	PUN	,
après	KON	après
j'	PRO:PER	je
ai	VER:pres	avoir
remangé	VER:pper	remanger
et	KON	et
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
<suggestion>
encore	ADV	encore
</suggestion>
rien	ADV	rien
fait	VER:pper	faire
»	PUN:cit	»
.	SENT	.
Léon	NAM	Léon
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
0	NUM	@card@
/	PUN	/
10	NUM	@card@
<segmentation/>
la	DET:ART	le
deuxième	NUM	deuxième
fois	NOM	foi|fois
Léon	NAM	Léon
a	VER:pres	avoir
redit	VER:pper	redire
la	DET:ART	le
même	ADJ	même
chose	NOM	chose
et	KON	et
la	DET:ART	le
maîtresse	NOM	maître|maîtresse
ne	ADV	ne
lui	PRO:PER	lui
avait	VER:impf	avoir
même	ADV	même
pas	ADV	pas
mis	VER:pper	mettre
de	PRP	de
note	NOM	note
,	PUN	,
le	DET:ART	le
dimanche	NOM	dimanche
qui	PRO:REL	qui
suit	VER:pres	suivre
la	DET:ART	le
maman	NOM	maman
de	PRP	de
Léon	NAM	Léon
s'	PRO:PER	se
était	VER:impf	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
<segmentation/>
il	PRO:PER	il
l'	PRO:PER	la|le
a	VER:pres	avoir
dit	VER:pper	dire
dans	PRP	dans
sa	DET:POS	son
rédaction	NOM	rédaction
et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
10	NUM	@card@
/	PUN	/
10	NUM	@card@
<segmentation/>
le	DET:ART	le
dimanche	NOM	dimanche
d'	PRP	de
après	KON	après
il	PRO:PER	il
savait	VER:impf	savoir
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
fallait	VER:impf	falloir
<suggestion>
faire	VER:infi	faire
</suggestion>
<segmentation/>
il	PRO:PER	il
pousse	VER:pres	pousser
sa	DET:POS	son
petite	ADJ	petit
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
et	KON	et
le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
9	NUM	@card@
/	PUN	/
10	NUM	@card@
<segmentation/>
après	PRP	après
le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
a	VER:pres	avoir
fait	VER:pper	faire
tenir	VER:infi	tenir
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
sur	PRP	sur
le	DET:ART	le
bord	NOM	bord
de	PRP	de
sa	DET:POS	son
fenêtre	NOM	fenêtre
en	PRO:PER	en
espérant	VER:ppre	espérer
que	KON	que
le	DET:ART	le
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
tombe	VER:pres	tomber
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
d'	PRP	de
un	DET:ART	un
passant	VER:ppre	passer
et	KON	et
ça	PRO:DEM	cela
s'	PRO:PER	se
est	VER:pres	être
passé	VER:pper	passer
<segmentation/>
le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
une	DET:ART	un
remplaçante	NOM	remplaçant
et	KON	et
elle	PRO:PER	elle
a	VER:pres	avoir
dit	VER:pper	dire
:	PUN	:
<dialogue>
«	PUN:cit	«
Votre	NAM	Votre
maîtresse	NOM	maître|maîtresse
est	VER:pres	être
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
<segmentation/>
fracture	VER:pres	fracturer
du	PRP:det	du
crâne	NOM	crâne
»	PUN:cit	»
</dialogue>
<segmentation/>
à	PRP	à
la	DET:ART	le
place	NOM	place
ils	PRO:PER	il
ont	VER:pres	avoir
eu	VER:pper	avoir
grammaire	NOM	grammaire
.	SENT	.
