C'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
histoire	NOM	histoire
d'	PRP	de
un	DET:ART	un
petit	ADJ	petit
garçon	NOM	garçon
qui	PRO:REL	qui
fait	VER:pres	faire
de	PRP	de
la	DET:ART	le
rédaction	NOM	rédaction
tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
.	SENT	.
Tous	PRO:IND	tout
les	DET:ART	le
dimanches	NOM	dimanche
le	DET:ART	le
garçon	NOM	garçon
va	VER:pres	aller
chez	PRP	chez
ses	DET:POS	son
grands-parents	NOM	grands-parents
.	SENT	.
Le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
que	ADV	que
des	PRP:det	du
bêtises	NOM	bêtise
.	SENT	.
