Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
même	ADJ	même
chose	NOM	chose
<segmentation/>
Léon	NAM	Léon
a	VER:pres	avoir
rédaction	NOM	rédaction
.	SENT	.
Il	PRO:PER	il
doit	VER:pres	devoir
raconter	VER:infi	raconter
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
se	PRO:PER	se
passe	VER:pres	passer
chez	PRP	chez
lui	PRO:PER	lui
mais	KON	mais
le	DET:ART	le
problème	NOM	problème
c'	PRO:DEM	ce
est	VER:pres	être
qu'	KON	que
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passe	VER:pres	passer
jamais	ADV	jamais
rien	ADV	rien
.	SENT	.
La	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
,	PUN	,
il	PRO:PER	il
avait	VER:impf	avoir
écrit	VER:pper	écrire
qu'	KON	que
il	PRO:PER	il
était	VER:impf	être
chez	PRP	chez
ses	DET:POS	son
grands-parents	NOM	grands-parents
<segmentation/>
qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
avait	VER:impf	avoir
rien	ADV	rien
fait	VER:pres	faire
puis	ADV	puis
qu'	KON	que
il	PRO:PER	il
avait	VER:impf	avoir
mangé	VER:pper	manger
<segmentation/>
ensuite	ADV	ensuite
il	PRO:PER	il
n'	ADV	ne
avait	VER:impf	avoir
rien	ADV	rien
fait	VER:pper	faire
,	PUN	,
il	PRO:PER	il
avait	VER:impf	avoir
mangé	VER:pper	manger
et	KON	et
c'	PRO:DEM	ce
était	VER:impf	être
fini	VER:pper	finir
,	PUN	,
il	PRO:PER	il
avait	VER:impf	avoir
eu	VER:pper	avoir
un	NUM	un
"	PUN:cit	"
"	PUN:cit	"
incomplet	NOM	incomplet
"	PUN:cit	"
"	PUN:cit	"
.	SENT	.
La	DET:ART	le
deuxième	NUM	deuxième
fois	NOM	foi|fois
il	PRO:PER	il
avait	VER:impf	avoir
même	ADV	même
eu	VER:pper	avoir
un	DET:ART	un
zéro	NOM	zéro
.	SENT	.
Puis	ADV	puis
cette	PRO:DEM	ce
fois	NOM	foi|fois
sa	DET:POS	son
maman	NOM	maman
s'	PRO:PER	se
était	VER:impf	être
coupée	VER:pper	couper
en	PRP	en
coupant	VER:ppre	couper
le	DET:ART	le
gigot	NOM	gigot
.	SENT	.
