Lundi	NOM	lundi
Léon	NAM	Léon
avait	VER:impf	avoir
rédaction	NOM	rédaction
mais	KON	mais
il	PRO:PER	il
n'	ADV	ne
avait	VER:impf	avoir
rien	ADV	rien
à	PRP	à
raconter	VER:infi	raconter
<segmentation/>
il	PRO:PER	il
eut	VER:simp	avoir
des	PRP:det	du
zéros	NOM	zéro
car	KON	car
le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passait	VER:impf	passer
rien	ADV	rien
mais	KON	mais
un	DET:ART	un
dimanche	NOM	dimanche
sa	DET:POS	son
mère	NOM	mère
se	PRO:PER	se
coupa	VER:simp	couper
le	DET:ART	le
doigt	NOM	doigt
<segmentation/>
il	PRO:PER	il
y	PRO:PER	y
eut	VER:simp	avoir
plein	ADJ	plein
de	PRP	de
sang	NOM	sang
sur	PRP	sur
la	DET:ART	le
nappe	NOM	nappe
<segmentation/>
il	PRO:PER	il
le	PRO:PER	le
raconta	VER:simp	raconter
dans	PRP	dans
sa	DET:POS	son
rédaction	NOM	rédaction
<segmentation/>
il	PRO:PER	il
eut	VER:simp	avoir
dix	NUM	dix
<segmentation/>
le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
poussa	VER:simp	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
<segmentation/>
il	PRO:PER	il
l'	PRO:PER	la|le
a	VER:pres	avoir
raconté	VER:pper	raconter
dans	PRP	dans
sa	DET:POS	son
rédaction	NOM	rédaction
<segmentation/>
l'	DET:ART	le
autre	ADJ	autre
dimanche	NOM	dimanche
il	PRO:PER	il
mit	VER:simp	mettre
un	DET:ART	un
pot	NOM	pot
en	PRP	en
équilibre	NOM	équilibre
<omission type=""complément""/>
en	PRP	en
pensant	VER:ppre	penser
qu'	KON	que
il	PRO:PER	il
tombera	VER:futu	tomber
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
d'	PRP	de
un	DET:ART	un
passant	NOM	passant
.	SENT	.
Et	KON	et
le	DET:ART	le
pot	NOM	pot
tomba	VER:simp	tomber
mais	KON	mais
Léon	NAM	Léon
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
pu	VER:pper	pouvoir
voir	VER:infi	voir
sur	PRP	sur
qui	PRO:REL	qui
<segmentation/>
il	PRO:PER	il
était	VER:impf	être
aux	PRP:det	au
WC	NAM	WC
.	SENT	.
Et	KON	et
le	DET:ART	le
lendemain	NOM	lendemain
à	PRP	à
l'	DET:ART	le
école	NOM	école
<nonfini/>
