Léon	NAM	Léon
,	PUN	,
dans	PRP	dans
son	DET:POS	son
école	NOM	école
fait	VER:pres	faire
la	DET:ART	le
rédaction	NOM	rédaction
.	SENT	.
Il	PRO:PER	il
a	VER:pres	avoir
toujours	ADV	toujours
des	PRP:det	du
0	NUM	@card@
sur	PRP	sur
10	NUM	@card@
,	PUN	,
parce	KON	parce
qu'	KON	que
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passe	VER:pres	passer
jamais	ADV	jamais
rien	ADV	rien
le	DET:ART	le
dimanche	NOM	dimanche
.	SENT	.
Mais	KON	mais
un	DET:ART	un
jour	NOM	jour
le	DET:ART	le
dimanche	NOM	dimanche
sa	DET:POS	son
maman	NOM	maman
se	PRO:PER	se
coupa	VER:simp	couper
la	DET:ART	le
moitié	NOM	moitié
du	PRP:det	du
doigt	NOM	doigt
<segmentation/>
il	PRO:PER	il
eut	VER:simp	avoir
un	DET:ART	un
10	NUM	@card@
sur	PRP	sur
10	NUM	@card@
en	PRP	en
rédaction	NOM	rédaction
.	SENT	.
La	DET:ART	le
semaine	NOM	semaine
d'	PRP	de
après	ADV	après
,	PUN	,
il	PRO:PER	il
poussa	VER:simp	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
et	KON	et
il	PRO:PER	il
eut	VER:simp	avoir
un	DET:ART	un
9	NUM	@card@
/	PUN	/
10.	VER:ppre	@ord@
La	DET:ART	le
semaine	NOM	semaine
encore	ADV	encore
après	KON	après
il	PRO:PER	il
<unsure>
fracassa	VER:simp	fracasser
</unsure>
la	DET:ART	le
machine	NOM	machine
à	PRP	à
laver	VER:infi	laver
et	KON	et
inonda	VER:simp	inonder
les	DET:ART	le
voisins	NOM	voisin
du	PRP:det	du
dessous	ADV	dessous
et	KON	et
il	PRO:PER	il
avait	VER:impf	avoir
eu	VER:pper	avoir
9	NUM	@card@
et	KON	et
demi	ADJ	demi
sur	PRP	sur
10.	PUN:cit	@ord@
Une	ABR	Une
semaine	NOM	semaine
encore	ADV	encore
après	KON	après
il	PRO:PER	il
avait	VER:impf	avoir
mis	VER:pper	mettre
des	PRP:det	du
choses	NOM	chose
dans	PRP	dans
le	DET:ART	le
verre	NOM	verre
de	PRP	de
son	DET:POS	son
père	NOM	père
et	KON	et
l'	PRO:PER	la|le
empoisonna	VER:simp	empoisonner
et	KON	et
eu	VER:pper	avoir
7	NUM	@card@
sur	PRP	sur
10.	PRO:IND	@ord@
La	DET:ART	le
dernière	ADJ	dernier
semaine	NOM	semaine
il	PRO:PER	il
mit	VER:simp	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
sur	PRP	sur
le	DET:ART	le
rebord	NOM	rebord
de	PRP	de
sa	DET:POS	son
fenêtre	NOM	fenêtre
et	KON	et
il	PRO:PER	il
tomba	VER:simp	tomber
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
de	PRP	de
la	DET:ART	le
maîtresse	NOM	maître|maîtresse
.	SENT	.
