Tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
c'	PRO:DEM	ce
était	VER:impf	être
pareil	ADV	pareil
à	PRP	à
l'	DET:ART	le
école	NOM	école
<segmentation/>
Léon	NAM	Léon
devait	VER:impf	devoir
raconter	VER:infi	raconter
son	DET:POS	son
dimanche	NOM	dimanche
à	PRP	à
la	DET:ART	le
maitresse	NOM	maitresse
<segmentation/>
Léon	NAM	Léon
ne	ADV	ne
faisait	VER:impf	faire
rien	ADV	rien
les	DET:ART	le
dimanches	NOM	dimanche
,	PUN	,
il	PRO:PER	il
ne	ADV	ne
faisait	VER:impf	faire
rien	ADV	rien
chez	PRP	chez
sa	DET:POS	son
grand-mère	NOM	grand-mère
non	ADV	non
plus	ADV	plus
.	SENT	.
