Léon	NAM	Léon
est	VER:pres	être
un	DET:ART	un
écolier	NOM	écolier
et	KON	et
tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
il	PRO:PER	il
fait	VER:pres	faire
des	PRP:det	du
rédactions	NOM	rédaction
<segmentation/>
au	PRP:det	au
début	NOM	début
le	DET:ART	le
dimanche	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passe	VER:pres	passer
rien	ADV	rien
et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
des	PRP:det	du
0.	ABR	@ord@
Un	VER:futu	Un
jour	NOM	jour
sa	DET:POS	son
mère	NOM	mère
se	PRO:PER	se
coupe	VER:pres	couper
le	DET:ART	le
doigt	NOM	doigt
et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
7	NUM	@card@
/	PUN	/
10	NUM	@card@
après	KON	après
il	PRO:PER	il
jette	VER:pres	jeter
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
après	KON	après
il	PRO:PER	il
a	VER:pres	avoir
9	NUM	@card@
/	PUN	/
10	NUM	@card@
et	KON	et
il	PRO:PER	il
met	VER:pres	mettre
un	DET:ART	un
vase	NOM	vase
sur	PRP	sur
le	DET:ART	le
rebord	NOM	rebord
de	PRP	de
la	DET:ART	le
fenêtre	NOM	fenêtre
et	KON	et
ça	PRO:DEM	cela
tombe	VER:pres	tomber
sur	PRP	sur
une	DET:ART	un
dame	NOM	dame
mais	KON	mais
le	DET:ART	le
lendemain	NOM	lendemain
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
une	DET:ART	un
remplaçante	NOM	remplaçant
<segmentation/>
la	DET:ART	le
maîtresse	NOM	maître|maîtresse
est	VER:pres	être
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
