<titre>
La	DET:ART	le
rédaction	NOM	rédaction
de	PRP	de
Léon	NAM	Léon
</titre>
Tous	NAM	Tous
les	DET:ART	le
lundis	NOM	lundi
Léon	NAM	Léon
doit	VER:pres	devoir
faire	VER:infi	faire
une	DET:ART	un
rédaction	NOM	rédaction
de	PRP	de
ce	PRO:DEM	ce
qui	PRO:REL	qui
se	PRO:PER	se
passe	VER:pres	passer
le	DET:ART	le
dimanche	NOM	dimanche
mais	KON	mais
il	PRO:PER	il
n'	ADV	ne
avait	VER:impf	avoir
rien	ADV	rien
à	PRP	à
dire	VER:infi	dire
mais	KON	mais
un	DET:ART	un
jour	NOM	jour
sa	DET:POS	son
maman	NOM	maman
se	PRO:PER	se
coupe	VER:pres	couper
le	DET:ART	le
doigt	NOM	doigt
et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
une	DET:ART	un
bonne	ADJ	bon
<omission type=""nom""/>
et	KON	et
il	PRO:PER	il
pousse	VER:pres	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
et	KON	et
on	PRO:PER	on
est	VER:pres	être
obligé	VER:pper	obliger
de	PRP	de
l'	PRO:PER	la|le
emmener	VER:infi	emmener
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
et	KON	et
le	DET:ART	le
troisième	NUM	troisième
jour	NOM	jour
il	PRO:PER	il
a	VER:pres	avoir
<nonfini/>
