Léon	NAM	Léon
avait	VER:impf	avoir
toujours	ADV	toujours
des	PRP:det	du
mauvaises	ADJ	mauvais
notes	NOM	note
en	PRP	en
rédaction	NOM	rédaction
<segmentation/>
le	DET:ART	le
dimanche	NOM	dimanche
sa	DET:POS	son
mère	NOM	mère
s'	PRO:PER	se
était	VER:impf	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
en	PRP	en
préparant	VER:ppre	préparer
le	DET:ART	le
gigot	NOM	gigot
.	SENT	.
Sur	PRP	sur
la	DET:ART	le
nappe	NOM	nappe
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
plein	ADJ	plein
de	PRP	de
sang	NOM	sang
.	SENT	.
C'	PRO:DEM	ce
était	VER:impf	être
dégoûtant	ADJ	dégoûtant
.	SENT	.
Il	PRO:PER	il
a	VER:pres	avoir
raconté	VER:pper	raconter
ça	PRO:DEM	cela
dans	PRP	dans
<omission type=""déterminant""/>
rédaction	NOM	rédaction
.	SENT	.
Il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
bonne	ADJ	bon
note	NOM	note
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
compris	VER:pper	comprendre
<segmentation/>
il	PRO:PER	il
fallait	VER:impf	falloir
qu'	KON	que
il	PRO:PER	il
se	PRO:PER	se
passe	VER:pres	passer
quelque	PRO:IND	quelque
chose	NOM	chose
.	SENT	.
Donc	ADV	donc
il	PRO:PER	il
a	VER:pres	avoir
poussé	VER:pper	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
.	SENT	.
Il	PRO:PER	il
a	VER:pres	avoir
raconté	VER:pper	raconter
ça	PRO:DEM	cela
<segmentation/>
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
bonne	ADJ	bon
note	NOM	note
.	SENT	.
