Léon	NAM	Léon
est	VER:pres	être
à	PRP	à
l'	DET:ART	le
école	NOM	école
,	PUN	,
tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
il	PRO:PER	il
raconte	VER:pres	raconter
son	DET:POS	son
dimanche	NOM	dimanche
.	SENT	.
Mais	KON	mais
le	DET:ART	le
dimanche	NOM	dimanche
rien	ADV	rien
ne	ADV	ne
se	PRO:PER	se
passait	VER:impf	passer
.	SENT	.
Il	PRO:PER	il
était	VER:impf	être
chez	PRP	chez
ses	DET:POS	son
grands-parents	NOM	grands-parents
<segmentation/>
il	PRO:PER	il
mangeait	VER:impf	manger
<segmentation/>
rien	ADV	rien
d'	PRP	de
autre	ADJ	autre
ne	ADV	ne
se	PRO:PER	se
passait	VER:impf	passer
.	SENT	.
Et	KON	et
un	DET:ART	un
jour	NOM	jour
sa	DET:POS	son
mère	NOM	mère
se	PRO:PER	se
coupa	VER:simp	couper
le	DET:ART	le
doigt	NOM	doigt
<segmentation/>
plein	ADJ	plein
de	PRP	de
sang	NOM	sang
était	VER:impf	être
sur	PRP	sur
la	DET:ART	le
nappe	NOM	nappe
.	SENT	.
Le	DET:ART	le
lendemain	NOM	lendemain
arrivé	VER:pper	arriver
à	PRP	à
l'	DET:ART	le
école	NOM	école
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
20	NUM	@card@
sur	PRP	sur
20.	DET:POS	@ord@
Et	NOM	Et
la	PRO:PER	la
<nonfini/>
