Léon	NAM	Léon
le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
a	VER:pres	avoir
rédaction	NOM	rédaction
.	SENT	.
Le	DET:ART	le
premier	NUM	premier
jour	NOM	jour
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
0	NUM	@card@
parce	KON	parce
qu'	KON	que
il	PRO:PER	il
était	VER:impf	être
chez	PRP	chez
ses	DET:POS	son
grands-parents	NOM	grands-parents
.	SENT	.
Le	DET:ART	le
lundi	NOM	lundi
d'	PRP	de
après	PRP	après
sa	DET:POS	son
maman	NOM	maman
en	PRP	en
coupant	VER:ppre	couper
le	DET:ART	le
poulet	NOM	poulet
s'	PRO:PER	se
était	VER:impf	être
coupé	VER:pper	couper
le	DET:ART	le
doigt	NOM	doigt
.	SENT	.
En	PRP	en
rédaction	NOM	rédaction
il	PRO:PER	il
a	VER:pres	avoir
écrit	VER:pper	écrire
ça	PRO:DEM	cela
et	KON	et
le	DET:ART	le
dimanche	NOM	dimanche
d'	PRP	de
après	KON	après
il	PRO:PER	il
a	VER:pres	avoir
essayé	VER:pper	essayer|essayer
de	PRP	de
faire	VER:infi	faire
tenir	VER:infi	tenir
un	DET:ART	un
vase	NOM	vase
sur	PRP	sur
le	DET:ART	le
rebord	NOM	rebord
de	PRP	de
la	DET:ART	le
fenêtre	NOM	fenêtre
.	SENT	.
