Léon	NAM	Léon
devait	VER:impf	devoir
raconter	VER:infi	raconter
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
faisait	VER:impf	faire
le	DET:ART	le
dimanche	NOM	dimanche
.	SENT	.
Et	KON	et
il	PRO:PER	il
avait	VER:impf	avoir
zéro	NOM	zéro
.	SENT	.
Et	KON	et
sa	DET:POS	son
mère	NOM	mère
se	PRO:PER	se
coupa	VER:simp	couper
le	DET:ART	le
doigt	NOM	doigt
.	SENT	.
Alors	ADV	alors
le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
a	VER:pres	avoir
raconté	VER:pper	raconter
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
s'	PRO:PER	se
est	VER:pres	être
passé	VER:pper	passer
le	DET:ART	le
dimanche	NOM	dimanche
.	SENT	.
Et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
vingt	NUM	vingt
sur	PRP	sur
vingt	NUM	vingt
.	SENT	.
Et	KON	et
le	DET:ART	le
dimanche	NOM	dimanche
suivant	VER:ppre	suivre
il	PRO:PER	il
poussa	VER:simp	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
et	KON	et
elle	PRO:PER	elle
doit	VER:pres	devoir
aller	VER:infi	aller
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
Le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
raconta	VER:simp	raconter
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
dimanche	NOM	dimanche
.	SENT	.
Et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
neuf	ADJ	neuf
sur	PRP	sur
dix	NUM	dix
...	PUN	...
