Tous	PRO:IND	tout
les	DET:ART	le
dimanches	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passait	VER:impf	passer
rien	ADV	rien
.	SENT	.
Les	DET:ART	le
lundis	NOM	lundi
Léon	NAM	Léon
raconte	VER:pres	raconter
sa	DET:POS	son
rédaction	NOM	rédaction
.	SENT	.
La	DET:ART	le
maîtresse	NOM	maître|maîtresse
lui	PRO:PER	lui
met	VER:pres	mettre
"	PUN:cit	"
"	PUN:cit	"
pas	ADV	pas
intéressant	ADJ	intéressant
"	PUN:cit	"
"	PUN:cit	"
.	SENT	.
L'	DET:ART	le
autre	ADJ	autre
dimanche	NOM	dimanche
il	PRO:PER	il
allait	VER:impf	aller
chez	PRP	chez
ses	DET:POS	son
grands-parents	NOM	grands-parents
.	SENT	.
Et	KON	et
il	PRO:PER	il
mangeait	VER:impf	manger
et	KON	et
il	PRO:PER	il
ne	ADV	ne
faisait	VER:impf	faire
rien	ADV	rien
d'	PRP	de
autre	ADJ	autre
.	SENT	.
L'	DET:ART	le
autre	ADJ	autre
lundi	NOM	lundi
il	PRO:PER	il
raconte	VER:pres	raconter
sa	DET:POS	son
rédaction	NOM	rédaction
.	SENT	.
Et	KON	et
la	DET:ART	le
maîtresse	NOM	maître|maîtresse
lui	PRO:PER	lui
met	VER:pres	mettre
0	NUM	@card@
/	PUN	/
0.	NUM	@ord@
Un	ABR	Un
jour	NOM	jour
sa	DET:POS	son
mère	NOM	mère
se	PRO:PER	se
coupe	VER:pres	couper
le	DET:ART	le
doigt	NOM	doigt
avec	PRP	avec
un	DET:ART	un
couteau	NOM	couteau
et	KON	et
de	PRP	de
la	DET:ART	le
viande	NOM	viande
.	SENT	.
Léon	NAM	Léon
dit	VER:pres	dire
j'	PRO:PER	je
ai	VER:pres	avoir
compris	VER:pper	comprendre
<segmentation/>
il	PRO:PER	il
suffit	VER:pres	suffire
que	KON	que
je	PRO:PER	je
fasse	VER:subp	faire
quelque	PRO:IND	quelque
chose	NOM	chose
.	SENT	.
Le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
raconte	VER:pres	raconter
sa	DET:POS	son
rédaction	NOM	rédaction
.	SENT	.
La	DET:ART	le
maîtresse	NOM	maître|maîtresse
lui	PRO:PER	lui
met	VER:pres	mettre
10	NUM	@card@
/	PUN	/
10.	INT	@ord@
Léon	NAM	Léon
est	VER:pres	être
très	ADV	très
content	ADJ	content
.	SENT	.
L'	DET:ART	le
autre	ADJ	autre
dimanche	NOM	dimanche
Léon	NAM	Léon
a	VER:pres	avoir
mis	VER:pper	mettre
de	PRP	de
la	DET:ART	le
poudre	NOM	poudre
d'	PRP	de
escampette	NOM	escampette
dans	PRP	dans
le	DET:ART	le
verre	NOM	verre
de	PRP	de
son	DET:POS	son
papa	NOM	papa
.	SENT	.
Et	KON	et
son	DET:POS	son
papa	NOM	papa
a	VER:pres	avoir
failli	VER:pper	faillir
mourir	VER:infi	mourir
.	SENT	.
Le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
raconte	VER:pres	raconter
sa	DET:POS	son
rédaction	NOM	rédaction
.	SENT	.
La	DET:ART	le
maîtresse	NOM	maître|maîtresse
lui	PRO:PER	lui
met	VER:pres	mettre
9	NUM	@card@
/	PUN	/
10.	NUM	@ord@
Un	ABR	Un
jour	NOM	jour
il	PRO:PER	il
a	VER:pres	avoir
poussé	VER:pper	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
.	SENT	.
Et	KON	et
sa	DET:POS	son
soeur	NOM	sœur
est	VER:pres	être
allée	VER:pper	aller
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
Et	KON	et
le	DET:ART	le
lundi	NOM	lundi
il	PRO:PER	il
raconte	VER:pres	raconter
sa	DET:POS	son
rédaction	NOM	rédaction
.	SENT	.
La	DET:ART	le
maîtresse	NOM	maître|maîtresse
lui	PRO:PER	lui
met	VER:pres	mettre
7	NUM	@card@
/	PUN	/
10.	NUM	@ord@
Un	ABR	Un
jour	NOM	jour
il	PRO:PER	il
a	VER:pres	avoir
mis	VER:pper	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
en	PRP	en
équilibre	NOM	équilibre
sur	PRP	sur
le	DET:ART	le
bord	NOM	bord
de	PRP	de
la	DET:ART	le
fenêtre	NOM	fenêtre
pour	KON	pour
que	KON	que
ça	PRO:DEM	cela
tombe	VER:pres	tomber
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
de	PRP	de
quelqu'un	PRO:IND	quelqu'un
.	SENT	.
Et	KON	et
ça	PRO:DEM	cela
avait	VER:impf	avoir
marché	VER:pper	marcher
.	SENT	.
Sur	PRP	sur
une	DET:ART	un
dame	NOM	dame
accompagnée	VER:pper	accompagner
.	SENT	.
Le	DET:ART	le
lendemain	NOM	lendemain
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
une	DET:ART	un
remplaçante	NOM	remplaçant
.	SENT	.
Fracture	NOM	fracture
au	PRP:det	au
crâne	NOM	crâne
.	SENT	.
Une	DET:ART	un
remplaçante	NOM	remplaçant
qui	PRO:REL	qui
fait	VER:pres	faire
de	PRP	de
la	DET:ART	le
conjugaison	NOM	conjugaison
.	SENT	.
Léon	NAM	Léon
se	PRO:PER	se
dit	VER:pres	dire
:	PUN	:
c'	PRO:DEM	ce
est	VER:pres	être
mieux	ADV	mieux
que	KON	que
la	DET:ART	le
rédaction	NOM	rédaction
.	SENT	.
