Léon	NAM	Léon
fait	VER:pres	faire
des	PRP:det	du
rédactions	NOM	rédaction
à	PRP	à
l'	DET:ART	le
école	NOM	école
.	SENT	.
Les	DET:ART	le
dimanches	NOM	dimanche
il	PRO:PER	il
ne	ADV	ne
fait	VER:pres	faire
rien	ADV	rien
.	SENT	.
Un	DET:ART	un
lundi	NOM	lundi
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
zéro	NOM	zéro
sur	PRP	sur
dix	NUM	dix
.	SENT	.
Un	DET:ART	un
dimanche	NOM	dimanche
il	PRO:PER	il
a	VER:pres	avoir
compris	VER:pper	comprendre
qu'	KON	que
il	PRO:PER	il
fallait	VER:impf	falloir
qu'	KON	que
il	PRO:PER	il
fasse	VER:subp	faire
quelque	PRO:IND	quelque
chose	NOM	chose
pour	KON	pour
qu'	PRO:REL	que
il	PRO:PER	il
ait	VER:subp	avoir
dix	NUM	dix
sur	PRP	sur
dix	NUM	dix
.	SENT	.
Un	DET:ART	un
jour	NOM	jour
à	PRP	à
l'	DET:ART	le
école	NOM	école
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
un	DET:ART	un
dix	NUM	dix
sur	PRP	sur
dix	NUM	dix
et	KON	et
un	DET:ART	un
autre	ADJ	autre
jour	NOM	jour
un	DET:ART	un
vingt	NUM	vingt
sur	PRP	sur
vingt	NUM	vingt
.	SENT	.
