Ça	PRO:DEM	cela
parle	VER:pres	parler
d'	PRP	de
un	DET:ART	un
garçon	NOM	garçon
qui	PRO:REL	qui
ne	ADV	ne
connaît	VER:pres	connaître
pas	ADV	pas
sa	DET:POS	son
rédaction	NOM	rédaction
et	KON	et
cette	PRO:DEM	ce
semaine	NOM	semaine
sa	DET:POS	son
mère	NOM	mère
s'	PRO:PER	se
était	VER:impf	être
coupé	VER:pper	couper
un	DET:ART	un
doigt	NOM	doigt
<segmentation/>
du	PRP:det	du
coup	NOM	coup
il	PRO:PER	il
écrit	VER:pres	écrire
ça	PRO:DEM	cela
pour	PRP	pour
sa	DET:POS	son
rédaction	NOM	rédaction
<segmentation/>
ensuite	ADV	ensuite
il	PRO:PER	il
a	VER:pres	avoir
trouvé	VER:pper	trouver
la	DET:ART	le
solution	NOM	solution
<segmentation/>
alors	ADV	alors
il	PRO:PER	il
inventa	VER:simp	inventer
ses	DET:POS	son
propres	ADJ	propre
actions	NOM	action
<segmentation/>
il	PRO:PER	il
commença	VER:simp	commencer
à	PRP	à
pousser	VER:infi	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
<segmentation/>
elle	PRO:PER	elle
finit	VER:pres	finir
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
.	SENT	.
