Léon	NAM	Léon
doit	VER:pres	devoir
raconter	VER:infi	raconter
tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
son	DET:POS	son
dimanche	NOM	dimanche
.	SENT	.
Il	PRO:PER	il
déteste	VER:pres	détester
ça	PRO:DEM	cela
.	SENT	.
Un	DET:ART	un
jour	NOM	jour
sa	DET:POS	son
maman	NOM	maman
se	PRO:PER	se
coupa	VER:simp	couper
le	DET:ART	le
doigt	NOM	doigt
<segmentation/>
le	DET:ART	le
lundi	NOM	lundi
à	PRP	à
la	DET:ART	le
rédaction	NOM	rédaction
il	PRO:PER	il
avait	VER:impf	avoir
eu	VER:pper	avoir
une	DET:ART	un
très	ADV	très
bonne	ADJ	bon
idée	NOM	idée
.	SENT	.
Il	PRO:PER	il
faisait	VER:impf	faire
beaucoup	ADV	beaucoup
de	PRP	de
bêtises	NOM	bêtise
.	SENT	.
